YEAR,Citations,ICR ( in %),Articles,sjr
1999,493,80,7,62.429
2000,833,50,9,70.231
2001,1069,100,12,51.572
2002,1007,100,10,55.642
2003,536,50,6,58.343
2004,409,100,4,68.486
2005,688,100,6,58.576
2006,946,0,6,80.023
2007,788,0,4,94.5
2008,219,0,1,106.835
2009,0,0,0,0
2010,0,59,1,0.121
2011,4835,60.88,762,3.927
2012,8461,59.62,1516,3.431
2013,12028,59.64,2196,3.661
2014,9604,60.88,2099,3.359
2015,9329,62.24,2025,3.176
2016,8758,61.16,1969,2.869
96,,,,
